physics_tag,method,stage,opes_barrier,opes_pace,opes_sigma,opes_gamma,n_seeds,beta,h,beta_h,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,l2_f_reweight_median,l2_f_reweight_q25,l2_f_reweight_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,n_round_trips_median,n_round_trips_q25,n_round_trips_q75,opes_neff_frac_final_median,opes_neff_frac_final_q25,opes_neff_frac_final_q75
b1_h2_w2_n10_a1.5,opes,representative,4,500,0.05,inf,10,1.0,2.0,2.0,0.13332884228797576,0.13018424671123946,0.13421635133428542,0.4805187678814058,0.47516442951317306,0.4865641663357928,0.13709046627083665,0.13670124530290248,0.13955216830704886,0.3875817565653591,0.3752986186846552,0.41097849634202205,627986.5,624093.25,630651.25,0.7386284322222153,0.7381662910079753,0.7415682688279366
b1_h2_w2_n10_a1.5,opes,tune,3,250,0.05,inf,2,1.0,2.0,2.0,0.13678464381452066,0.13403301390123784,0.1395362737278035,0.5181619996575239,0.5119655682027535,0.5243584311122942,0.14224347966807438,0.14162546581866858,0.14286149351748015,0.357260023381919,0.3507402821344381,0.3637797646293999,560901.0,559923.0,561879.0,0.7928965816485523,0.7926752716244765,0.793117891672628
b1_h2_w2_n10_a1.5,opes,tune,3,500,0.05,inf,2,1.0,2.0,2.0,0.14217068218719395,0.1412655912324257,0.14307577314196218,0.5275615703870389,0.5273561750285687,0.5277669657455091,0.14431852211524937,0.14315151174395974,0.14548553248653903,0.32950316144623526,0.3272104236163349,0.3317958992761357,553621.5,553478.75,553764.25,0.8029358419579251,0.801865439247233,0.8040062446686171
b1_h2_w2_n10_a1.5,opes,tune,4,250,0.05,inf,2,1.0,2.0,2.0,0.1401103845566447,0.13853854574371507,0.14168222336957437,0.5023111215613212,0.49946316376001215,0.5051590793626303,0.14954561539275946,0.14792914987463504,0.1511620809108839,0.3827708333849197,0.37492100951818386,0.3906206572516555,640075.5,637078.25,643072.75,0.7245385738588188,0.7233514420744834,0.7257257056431541
b1_h2_w2_n10_a1.5,opes,tune,4,500,0.05,inf,2,1.0,2.0,2.0,0.1328892999353692,0.12945666753235724,0.1363219323383811,0.47703037226705935,0.468706344952436,0.4853543995816827,0.14656607881419303,0.14603236413890341,0.14709979348948263,0.3855465879933685,0.3785442288129903,0.39254894717374667,625024.5,623926.25,626122.75,0.7450460525652702,0.7446997553380542,0.7453923497924864
b1_h2_w2_n10_a1.5,opes,tune,6,250,0.05,inf,2,1.0,2.0,2.0,0.1399253753882458,0.1392904341628588,0.1405603166136328,0.48192809505175305,0.4810700346418998,0.4827861554616063,0.14503142516674775,0.14350924023726058,0.1465536100962349,0.4339204046168941,0.41980225408733424,0.44803855514645397,701589.0,699640.5,703537.5,0.6420426553706229,0.6413490731835156,0.6427362375577301
b1_h2_w2_n10_a1.5,opes,tune,6,500,0.05,inf,2,1.0,2.0,2.0,0.14489327398160823,0.14442489171372458,0.14536165624949188,0.49052942502955765,0.4875796910572356,0.4934791590018798,0.14471172165356883,0.14423251867621592,0.14519092463092173,0.419306206521333,0.4185161631447156,0.4200962498979503,683339.0,683330.0,683348.0,0.6717052878962939,0.6715631399366292,0.6718474358559587
b1_h2_w2_n10_a1.5,opes,tune,8,250,0.05,inf,2,1.0,2.0,2.0,0.14489966925200973,0.1426431640596131,0.14715617444440635,0.5017246360868662,0.49451266726159837,0.508936604912134,0.14421770061733463,0.1441186717965989,0.1443167294380704,0.44794880285511995,0.44723130920393267,0.44866629650630724,721138.0,715523.5,726752.5,0.5914669277161007,0.5899246762943888,0.5930091791378124
b1_h2_w2_n10_a1.5,opes,tune,8,500,0.05,inf,2,1.0,2.0,2.0,0.13308424247893225,0.13189551904611288,0.13427296591175159,0.46616720087892305,0.4639924331918044,0.46834196856604177,0.1302817819455589,0.1297495688173593,0.13081399507375846,0.48449389761092343,0.477066539650282,0.49192125557156485,717405.0,714586.0,720224.0,0.6393618357819357,0.639098239935348,0.6396254316285234
b1_h2_w2_n10_a1.5,opes_flat,representative,4,500,0.05,inf,10,1.0,2.0,2.0,0.14149705101237733,0.14040613111105105,0.14582966328429173,0.5068447935250975,0.4936182424953805,0.5169209559459433,0.12664967963277393,0.12351497382125678,0.12916584672220624,0.5124344706967688,0.4999304238200555,0.5267766224598112,809211.0,793483.25,812309.0,0.5574783827560869,0.554474791399214,0.5596245035987111
b1_h4_w2_n10_a1.5,opes,representative,4,500,0.05,inf,10,1.0,4.0,4.0,0.1944334109659699,0.18985841490863117,0.19986169754162986,0.7284443952898975,0.7214477706140277,0.7408127842525742,0.1620878861577203,0.16073148438349297,0.16283850581642503,0.5636173079099384,0.5520142895873056,0.5675007004286243,428881.0,423738.75,433733.5,0.6478004084633888,0.6463179119319037,0.6491057472241679
b1_h4_w2_n10_a1.5,opes_flat,representative,4,500,0.05,inf,10,1.0,4.0,4.0,0.19726187512554655,0.19545489230185314,0.20058798105740872,0.6657895312725621,0.6520249970632812,0.6684001684370247,0.12504454724046657,0.12232412303244054,0.12932182711310847,0.7175579212402489,0.7006011140839125,0.7269657237791296,594594.5,588588.5,602962.25,0.4295020230116735,0.4278579515542582,0.43102577866885283
b2_h4_w2_n10_a1.5,opes,representative,4,500,0.05,inf,10,2.0,4.0,8.0,0.06578964913793346,0.0634531773197885,0.06794044471853039,0.3606654515479273,0.3529852315979831,0.3615281900088011,0.14031362157643662,0.13938224997050813,0.14191439892415514,0.8118488068056484,0.7969939197359723,0.8218678329427314,268932.5,207859.5,276117.0,0.3601234626610993,0.3554833902677197,0.3636249974021674
b2_h4_w2_n10_a1.5,opes_flat,representative,4,500,0.05,inf,10,2.0,4.0,8.0,0.09749961929787296,0.09270430085878015,0.09907759773568296,0.38799505334129436,0.38153125574894875,0.41013298297443446,0.2892426853832116,0.27438872862170144,0.2961099985337854,0.9867023556342445,0.9634639495874493,0.9943819787661118,239059.0,174457.25,248732.75,0.13772511985600588,0.1351352180204995,0.1415602804309172
b2_h6_w2_n10_a1.5,opes,representative,4,500,0.05,inf,10,2.0,6.0,12.0,0.1099266964401642,0.10815147370646827,0.11748062510030205,0.986086841157247,0.9742358801468242,1.0011339920978866,0.38745123815503413,0.3733931219974236,0.4039346103111947,0.8313963674537934,0.823592662676788,0.8439243760856124,24290.0,23261.5,24897.75,0.26811618696549155,0.25798401139580934,0.27466672141967474
b2_h6_w2_n10_a1.5,opes,tune,3,250,0.05,inf,2,2.0,6.0,12.0,0.3172064546856169,0.30990062400992324,0.3245122853613106,1.6244865471206575,1.6047096555132434,1.6442634387280717,0.818793017956259,0.8118051092413812,0.8257809266711368,0.8853936130156314,0.8813561116772839,0.8894311143539788,7473.5,7338.25,7608.75,0.3054225987436392,0.30448698865131163,0.30635820883596676
b2_h6_w2_n10_a1.5,opes,tune,3,500,0.05,inf,2,2.0,6.0,12.0,0.3245461796401333,0.3236661616597185,0.3254261976205481,1.64734376750738,1.6399135892021353,1.6547739458126247,0.8278964845857264,0.8251647896956424,0.8306281794758102,0.8857192326589993,0.8825195646975259,0.8889189006204727,7323.0,7231.5,7414.5,0.3056063861647184,0.30554784471305496,0.30566492761638187
b2_h6_w2_n10_a1.5,opes,tune,4,250,0.05,inf,2,2.0,6.0,12.0,0.10231858239742936,0.10138360288429997,0.10325356191055873,0.9652315493436923,0.9635227531773884,0.966940345509996,0.34517084621828265,0.3416464696709083,0.34869522276565695,0.8161818435635251,0.8116757413979798,0.8206879457290703,26376.0,26069.0,26683.0,0.28989357824674794,0.28649998628098017,0.2932871702125157
b2_h6_w2_n10_a1.5,opes,tune,4,500,0.05,inf,2,2.0,6.0,12.0,0.1059839650325455,0.10590391782499017,0.10606401224010081,0.9655622818916865,0.9642714487634769,0.966853115019896,0.3733563531932406,0.3687568856836121,0.37795582070286915,0.8339737804122942,0.8279837410587122,0.8399638197658763,25282.0,24774.0,25790.0,0.2743135153277319,0.27009965357276144,0.27852737708270237
b2_h6_w2_n10_a1.5,opes,tune,6,250,0.05,inf,2,2.0,6.0,12.0,0.10508831796263557,0.10414425588524732,0.10603238004002383,0.836362257548692,0.832231787323834,0.8404927277735499,0.34468975201129015,0.34036365146658654,0.34901585255599377,0.9056585994705499,0.89200580052234,0.9193113984187599,205482.0,204231.5,206732.5,0.1907852269178557,0.18930971799154342,0.192260735844168
b2_h6_w2_n10_a1.5,opes,tune,6,500,0.05,inf,2,2.0,6.0,12.0,0.10371005932715541,0.10365455693159457,0.10376556172271625,0.8874968496048345,0.8843938076410593,0.8905998915686096,0.4159441171144933,0.41426097107326987,0.4176272631557167,0.8984972756427452,0.895308083550133,0.9016864677353574,177451.0,176959.0,177943.0,0.16343918802683577,0.1630774324085564,0.1638009436451151
b2_h6_w2_n10_a1.5,opes,tune,8,250,0.05,inf,2,2.0,6.0,12.0,0.13347393474359454,0.1334461002427523,0.13350176924443674,0.9902692868485898,0.9717200808711283,1.0088184928260513,0.6358769480437962,0.6256730129543333,0.6460808831332591,0.9839891279616144,0.9818132644073215,0.9861649915159072,315341.0,311352.0,319330.0,0.08654896322356628,0.08624485401188414,0.08685307243524842
b2_h6_w2_n10_a1.5,opes,tune,8,500,0.05,inf,2,2.0,6.0,12.0,0.13849986672304038,0.13601333621705852,0.14098639722902223,1.3261470754073,1.2863074909687657,1.3659866598458341,0.8433461696902634,0.8211338659812158,0.865558473399311,0.9920590275077543,0.9829623873945822,1.0011556676209263,213716.0,210643.5,216788.5,0.08374357155194298,0.08361016471843877,0.08387697838544719
b2_h6_w2_n10_a1.5,opes_flat,representative,4,500,0.05,inf,10,2.0,6.0,12.0,0.18924284298004485,0.17380127570653475,0.2079730857766182,1.2870543042752363,1.2248707605649491,1.3283270128817497,0.7234140426369823,0.6879446594338696,0.7698320059967707,0.9636057488137733,0.9536457287370551,0.9733399521446225,10005.5,9878.0,10292.0,0.11079323425648094,0.1104427734824043,0.11193702019773082
