system,cv,dominant_limitation,discovery_evidence,establishment_evidence,mfr_result,regime
Butane,phi1,neither: ABF resolves the barrier,found immediately; single torsion mixes under the bias,no deficit forms,equivalent within +/-10%,ABF-sufficient
Pentane,phi1,conditional sampling of the hidden phi2,found immediately on the biased coordinate,no marginal deficit on phi1,equivalent within +/-10%,ABF-sufficient
Pentane,R15,rare torsional-barrier crossing (dynamical),FAILS: about 22% of thermal bins under-supported,"not reached, so nothing to establish",equivalent when gentle; HARMFUL when pushed,discovery-limited
Pentane,"(phi1,phi2)",neither: both barriers biased directly,screen labels every production cell easy,no deficit forms,equivalent,ABF-sufficient
Alanine dipeptide,"(phi,psi)",neither,C7ax reached in 3.1-4.1 ps,held at about 5.6% occupancy,equivalent across a 22x rate ladder,ABF-sufficient
Valine dipeptide,"(phi,chi1)",neither,all 8 regions touched by 5.4 ps,all 8 established by 52 ps of 300 ps,not run: the gate never fired,ABF-sufficient
Metastability model,x,"target direction, not support",both basins visited,marginal converges within budget,modest accelerator,ABF-sufficient
Entropic bottleneck,"x, beta<=4",neither,smooth channel: no discovery barrier,marginal converges within budget,mildly adverse,ABF-sufficient
Entropic bottleneck,"x, beta=8",population of the channel,smooth channel: no discovery barrier,channel under-populated within budget,large gain,establishment-limited
Entropic gateway,x,population of the far side,gateway crossed early in every cell,far side populated slowly,"-12.5% vs ABF, -14.9% vs its sham",establishment-limited
WCA dimer,bond coordinate,population among crossing replicas,round trips equal across arms to about 1%,stretched state under-represented,"-22.8% vs ABF, -26.4% vs its sham",establishment-limited
