system,source,action,detail
two_dim_xi_x,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,stage filter,"only the shard-merged production_gpu final summary is used; results/two_dim_xi_x/{validation,benchmark} carry no FR target arms."
two_dim_xi_x,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,headline warning,production_gpu/table_main_results.csv reports each FR method at its OWN best config (best-of-36 selection). This audit never uses that table; it pairs at MATCHED config.
entropic_bottleneck,/home/zheyuanlai/ABF-Fisher-Rao/results/entropic_bottleneck/summaries/summary.csv,cell EXCLUDED,"stage=stage1_seeds: only methods ['abf', 'fr_estimated'] -- fewer than two of {estimated,uniform,oracle}."
entropic_bottleneck,/home/zheyuanlai/ABF-Fisher-Rao/results/entropic_bottleneck/summaries/summary.csv,cell EXCLUDED,"stage=stage2_omega: only methods ['abf', 'fr_estimated'] -- fewer than two of {estimated,uniform,oracle}."
entropic_bottleneck,/home/zheyuanlai/ABF-Fisher-Rao/results/entropic_bottleneck/summaries/summary.csv,cell EXCLUDED,"stage=stage3_beta: only methods ['abf', 'fr_estimated'] -- fewer than two of {estimated,uniform,oracle}."
entropic_bottleneck,/home/zheyuanlai/ABF-Fisher-Rao/results/entropic_bottleneck/summaries/summary.csv,cell EXCLUDED,"stage=stage4_gamma: only methods ['abf', 'fr_estimated'] -- fewer than two of {estimated,uniform,oracle}."
entropy_dominant_bottleneck,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck/sweep_20260614_015145/raw_runs.csv,sweep filter,"sweep=='main' only.  sweep=='rate' (gamma in {1,5,15,30,50}) has ONLY abf + fr_estimated -> excluded (needs >=2 of {estimated,uniform,oracle})."
entropy_dominant_bottleneck_ema_tuning,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_175039/oracle_uniform_baseline/raw/main/*.npz,npz read (no per-seed CSV),matched_oracle_uniform_summary.csv holds medians only; the per-seed fr_uniform / fr_oracle scalars exist ONLY as raw .npz under oracle_uniform_baseline/raw/main.
entropy_dominant_bottleneck_ema_tuning,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_175039,arm REUSE across cells,"fr_uniform and fr_oracle do not depend on target_ema_rate by construction (q_uni is flat; q_orc = exp(-beta(F_ref-B))), and were run once at ema=0.005. The SAME 20 uniform/oracle seeds are therefore reused in all 8 rate cells of a given phi -- the 8 cells within a phi are NOT independent."
entropy_dominant_bottleneck_ema_tuning,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_175039,consistency check,ABF arm is identical across all 8 ema dirs and the oracle/uniform baseline dir: max |dFinal L2(F)| = 3.96e-07.
slow_transverse_ORPHAN,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_slow_transverse/reanalysis/slow_transverse_runs_long.csv,PROVENANCE,Generating code was NEVER committed (docs/ORPHAN_ARTIFACT_PROVENANCE.md). Method labels are inferred from filenames. UNVERIFIED -- do not cite.
slow_transverse_ORPHAN,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_slow_transverse/reanalysis/slow_transverse_runs_long.csv,arm EXCLUDED,"fr_estimated_condrefresh and fr_estimated_estrefresh are excluded from the target-ablation contrasts: they are not members of {estimated,uniform,oracle} and their mechanism is unverified (estrefresh was additionally built from a different code version -- missing none__F_moment)."
slow_transverse_ORPHAN,/home/zheyuanlai/ABF-Fisher-Rao/results/entropy_dominant_bottleneck_slow_transverse/reanalysis/slow_transverse_runs_long.csv,pilot DUPLICATION,pilot_20260616_225737 and pilot_20260617_001656 share bit-identical ABF runs (max |d final L2(F)| = 1.45e-07 over 200 matched seeds) but their FR arms differ. Pilots are kept as SEPARATE cells and must not be pooled or double counted.
wca_production,/home/zheyuanlai/ABF-Fisher-Rao/results/wca_production/summaries/summary.csv,stage filter,stage=='main' only. Stages difficulty_budget / difficulty_crowding / difficulty_replicas / failure / pilot / stage0_reproduce carry ONLY abf + fr_estimated -> excluded.
